都 dou1 都 to/miyako
年 nian2 年 nen/toshi
被 bei4 被 hi
时 shi2 時 ji/toki/doki
小 xiao3 小 o/ko/shou/guゎ-
几 ji3 幾 iku
家 jia1 家 ie/ka/uchi/ke
事 shi4 事 ji/koto/goto
二 er4 二 aru/ni
子 zi5 子 shi/ko/ne/kou
住 zhu4 住 juu
美 mei3 美 bi
女 nü3 女 onna/jo
米 mi3 米 bei/kome/meetoru
加 jia1 加 ka
未 wei4 未 mi/hitsuji
座 zuo4 座 za
七 qi1 七 chii/shichi
非 fei1 非 hi
词 ci2 詞 shi
题 ti2 題 dai
北 bei3 北 pee/kita
差 cha4 差 sa
系 xi4 系 kei
布 bu4 布 nuno
派 pai4 派 ha
贵 gui4 貴 ki
古 gu3 古 furu/inishie
力 li4 力 riki/chikara/ryoku
蓝 lan2 藍 ai
化 hua4 化 ka
费 fei4 費 hi
念 nian4 念 nen
火 huo3 火 hi/ka
取 qu3 取 shu
床 chuang2 床 yuka/shou/toko
任 ren4 任 nin
塔 ta3 塔 tou
底 di3 底 tei/soko
架 jia4 架 ka
故 gu4 故 yue/ko
细 xi4 細 sai/sasa/hoso
味 wei4 味 mi/aji
夏 xia4 夏 ka/natsu/ge
例 li4 例 rei/tameshi
泡 pao4 泡 awa
佳 jia1 佳 ka
源 yuan2 源 minamoto/gen
串 chuan4 串 kushi
刻 ke4 刻 koku/kiza
丹 dan1 丹 ni
计 ji4 計 kei
微 wei1 微 bi
尾 wei3 尾 bi/o
井 jing3 井 i/sei
妻 qi1 妻 sai/tsuma
刺 ci4 刺 shi/toge
币 bi4 幣 hei
亩 mu3 畝 une/ho
愈 yu4 愈 iyoiyo
匹 pi3 匹 hiki
驾 jia4 駕 ga
悲 bei1 悲 hi
御 yu4 御 gyo/go/mi/o
桃 tao2 桃 momo
柔 rou2 柔 juu/yawa
液 ye4 液 eki
益 yi4 益 eki
韵 yun4 韻 in
菊 ju2 菊 kiku
魏 wei4 魏 gi
逸 yi4 逸 ichi
炎 yan2 炎 en/honoo
际 ji4 際 sai/kiwa
妃 fei1 妃 hi
浦 pu3 浦 ura
危 wei1 危 ki
盲 mang2 盲 mekura
役 yi4 役 eki/yaku
癌 ai2 癌 gan
弊 bi4 弊 hei
郁 yu4 鬱 utsu
聋 long2 聾 tsunbo
殷 yan1 殷 in
蚁 yi3 蟻 ari
箍 gu1 箍 taga
矶 ji1 磯 iso
垢 gou4 垢 ku/aka
痣 zhi4 痣 aza
栅 zha4 柵 shigarami/saku/ki
藻 zao3 藻 mo
饵 er3 餌 esa
鲸 jing1 鯨 kujira
邸 di3 邸 tei
佃 dian4 佃 tsukuda
涡 guo1 渦 uzu
蛆 qu1 蛆 uji
缆 lan3 纜 tomozuna
荻 di2 荻 ogi
痔 zhi4 痔 ji
鲤 li3 鯉 koi
臼 jiu4 臼 usu
亵 xie4 褻 ke
栎 li4 櫟 ichii/kunugi
糸 mi4 糸 ito/shi
裾 ju1 裾 suso
酢 zuo4 酢 su
鵺 ye4 鵺 nue
嘴 zui3 嘴 kuchibashi
霜 shuang1 霜 shimo
巷 xiang4 巷 chimata
框 kuang4 框 kamachi
匠 jiang4 匠 takumi
蜩 tiao2 蜩 higurashi
饯 jian4 餞 hanamuke
麭 pao4 麭 konamochi
的 de5 的 teki/mato
我 wo3 我 ware/ga
着 zhe5 著 cho
好 hao3 好 kou
能 neng2 能 nou
最 zui4 最 sai
问 wen4 問 mon
或 huo4 或 aru
本 ben3 本 hon
高 gao1 高 taka/kou
见 jian4 見 mi/ken
车 che1 車 sha/kuruma
老 lao3 老 rou
者 zhe3 者 sha/mono
回 hui2 回 kai
刚 gang1 剛 gou
六 liu4 六 ryuu/roku
干 gan4 幹 kara/miki
早 zao3 早 haya
受 shou4 受 ju
页 ye4 頁 peeji
西 xi1 西 nishi/shaa
类 lei4 類 rui
风 feng1 風 fuu/kaze
报 bao4 報 hou
文 wen2 文 bun/mon/fumi
海 hai3 海 umi
