一,one
荘,villa
蒸,steam
妖,bewitching
偵,spy
堪,withstand
魅,fascination
侍,waiter
猿,monkey
孟,chief
猛,fierce
誇,boast
拾,pick up
嵐,storm
侯,marquis
喉,throat
芳,perfume
蓮,lotus
菱,diamond shape
燥,parch
拓,clear (the land)
熟,ripen
扉,front door
隔,isolate
丼,bowl of food
鎖,chain
樣,manner
只,only
披,expose
紋,family crest
閲,review
牲,animal sacrifice
洪,deluge
煮,boil
預,deposit
畳,tatami mat
陥,collapse
殆,almost
稚,immature
萎,wither
媛,princess
桐,paulownia
筒,cylinder
羨,envy
汽,steam
椅,chair
机,desk
翁,venerable old man
挨,push open
拶,be imminent
紛,distract
拒,repel
恒,constancy
某,so-and-so
謀,conspire
昧,foolish
諦,abandon
溜,collect
涯,horizon
廊,corridor
狩,hunt
翻,flip
祥,auspicious
鎮,tranquilize
潰,crush
柴,brush
棟,ridgepole
噂,rumor
託,consign
乏,scarce
雀,sparrow
炉,hearth
萩,bush clover
瓜,melon
孤,orphan
函,box (archaic) 
欺,deceit
胃,stomach
謂,reason
琴,harp
曹,cadet
遭,encounter
斜,diagonal
壇,podium
庵,hermitage
迄,until
惚,fall in love with
蛇,snake
裸,naked
訟,sue
汁,soup
符,token
克,overcome
枕,pillow
鋭,pointed
漏,leak
措,set aside
肥,fertilizer
拳,fist
啓,disclose
鼓,drum
帆,sail
軌,rut
棚,shelf
需,demand
濡,get wet
墨,black ink
肝,liver
頬,cheeks
缶,tin can
鬱,gloom
硬,stiff
桑,mulberry
辻,crossing
桂,cinnamon tree
宰,superintend
幽,seclude
眉,eyebrow
脈,vein
洞,den
懲,penal
虐,tyrannize
陳,exhibit
呪,curse
雰,atmosphere
蹴,kick
艇,rowboat
巧,adroit
鷹,hawk
覗,peek
脅,threaten
褒,praise
馴,get used to
鉢,bowl
凍,frozen
蘇,be resuscitated
稽,consider
浄,clean
顕,appear
釜,kettle
詐,lie
粧,cosmetics
孔,cavity
彰,patent
銘,inscription
珠,pearl
励,encourage
鍋,pot
薦,recommend
彫,carve
抽,pluck
劣,inferiority
糖,sugar
惨,wretched
磐,rock
曖,not clear
怨,grudge
弦,bowstring
晶,sparkle
唄,songs with shamisen
醒,be disillusioned
殖,augment
跳,hop
浸,immersed
拍,clap
搬,conveyor
据,set
倫,ethics
愉,pleasure
賊,burglar
痴,stupid
汐,eventide
溝,gutter
笛,flute
慈,mercy
哉,how
軸,axis
溶,melt
磯,seashore
唇,lips
悠,permanence
絞,strangle
誓,vow
卑,lowly
扇,fan
刈,reap
