















丸,丶九
粒,米立
隆,⻖夂生𠂉土
涼,氵京亠口小
猟,犭鼡⺍
陵,⻖夌圥夂
累,田糸幺小
握,扌屋尸至一厶土
嵐,山風𠘨䖝丿虫
偉,亻韋
椅,木奇大可丁口
飲,飠欠
運,⻌軍冖車
雲,雨云二厶
営,呂口⺍冖
詠,訁亖口永水丶
越,走土龰戉
媛,女爰爫一友𠂇又
援,扌爰爫一友𠂇又
奥,米大
温,氵昷日皿
渦,氵咼冎口
過,⻌咼冎口
賀,加力口貝目八
絵,糸幺小会人云二厶
開,門开一廾
階,皆比白丿日
街,行彳亍一丁圭土
覚,見目儿
割,害宀口丰刂
葛,艹曷

喚,口奐⺈冂儿大
堪,土甚甘匹匚儿
換,扌奐⺈冂儿大
敢,丅耳攵
棺,木官宀㠯
款,士示二小欠
間,門日
閑,門木
喜,口壴士豆一䒑
幾,幺戈弋丿人
揮,扌軍冖車
期,其共二龷八月
棋,木其共二龷八
貴,貝目八中一
欺,其共二龷八欠
喫,口契㓞大丰刀
給,糸幺小合亼口人一
距,足口龰巨
御,彳卸𦈢卩
暁,日尭卉兀十廾一儿
極,木亟丂叹一
勤,堇力
琴,玨王今亼乛人一
筋,⺮肋⺼力
遇,⻌禺
隅,⻖禺
敬,苟艹句勹口攵
景,日京亠口小
軽,車圣又土
結,糸幺小吉士口
圏,囗巻己
堅,臤臣又土
検,木㑒
減,氵咸戌口戊一丿戈弋
湖,氵胡古月十口
雇,戸一尸隹
喉,口侯亻矢ユ𠂉大
慌,忄荒艹巟亡川亠𠃊
港,氵巷共巳龷八
硬,石更曰囗一
絞,糸幺小交亠父
項,工頁一自八
詐,訁亖口乍丿
最,曰囗一取又耳
裁,衣亠𧘇𢦏十戈弋丿
策,⺮朿
酢,酉乍丿
傘,人十𠈌从
散,攵月
紫,糸幺小此止匕
詞,訁亖口司
歯,止米凵
滋,氵兹䒑幺
軸,車由十囗
湿,氵显日业
煮,火八人者老日耂匕
就,尢尤丶京亠口小
衆,血丿皿乑
集,木隹
循,彳盾目斤
順,巛𡿨頁一自八
暑,日者老耂匕
勝,月劵𠔉力八夫二人
掌,手尚小冋冂口
晶,日
焼,火八人尭卉兀十廾一儿
焦,火八人隹
硝,石肖肉小内人冂
粧,米庄广土丶厂
詔,訁亖口召刀
証,訁亖口正一止
象,⺈豕
場,土昜旦勿日一勹丿
畳,田冝冖且
植,木直目一｜十
殖,歹一夕直目｜十
森,木林
診,訁亖口㐱𠆢彡
尋,口寸工ヨ
須,彡頁一自八
遂,⻌㒸丷豕
随,⻖迶辶有𠂇月
婿,女胥疋月乛龰
晴,日青月生𠂉土
税,禾兑丷兄儿口
絶,糸幺小色巴勹巳丨
善,口𦍌丷王䒑
然,火八人肰⺼犬大丶
疎,疋乛龰束木口
訴,訁亖口斥斤
創,倉亻口尸刂
喪,口衣亠𧘇
痩,疒冫广丶厂申又
葬,艹死歹匕一夕廾
装,衣亠𧘇壮丬士
測,氵則貝刂目八
属,禹尸
尊,寸酋丷酉
堕,土陏⻖有𠂇月
惰,忄左𠂇工月
替,㚘夫二人曰囗一
貸,代亻弋貝目八
隊,⻖㒸丷豕
達,⻌羍
棚,木朋月
短,矢𠂉大豆一口䒑
弾,弓単⺍日十
遅,⻌尸羊
着,羊目
貯,貝目八宁宀丁
朝,龺十日月
貼,貝目八占⺊口
超,走土龰召刀口
椎,木隹
痛,疒冫广丶厂甬龴用
塚,土冖豕
堤,土是日疋乛龰
提,扌是日疋乛龰
程,禾呈口王
渡,氵度广廿又丶厂
塔,土荅艹合亼口人一
搭,扌荅艹合亼口人一
棟,木東束一口
湯,氵昜旦勿日一勹丿
痘,疒冫广丶厂豆一口䒑
登,癶豆一口䒑
答,⺮合亼口人一
等,⺮寺土寸
筒,⺮同冂一口
統,糸幺小充𠫓儿
童,立里田土
道,辶首䒑自
鈍,金屯
廃,广丶厂発癶二儿
媒,女某甘木
買,罒貝目八
博,十尃甫寸
斑,玨王文亠乂
飯,飠反厂又
晩,日免⺈儿
番,釆禾丷丿米田
蛮,亦虫
悲,非心
扉,戸一尸非
費,弗丿丨弓貝目八
備,亻卄厂用
筆,⺮聿肀二
評,言平干丷
富,宀畐田
普,並䒑业日
幅,巾畐田
復,彳复𠂉日夂
雰,雨分八刀
塀,土屏尸并丷开一廾
遍,辶扁戶冊
補,衤甫
募,莫艹旲力
報,幸土丷干𠬝卩又
傍,亻旁亠丷冖方丶万
帽,巾冒日目
棒,木奉𡗗一十大
貿,𠂎刀貝目八
満,氵卄両一冂山
無,𠂉卌一灬
喩,口兪
愉,忄俞亼刖人一月刂
湧,氵勇龴男田力
猶,犭酋丷酉
裕,衤谷
遊,辶斿方𠂉子丶万
雄,厷𠂇厶隹
揚,扌昜旦勿日一勹丿
揺,扌爫
葉,艹枼世木廿𠃊
陽,⻖昜旦勿日一勹丿
絡,糸幺小各夂口
落,艹洛氵各夂口
痢,疒冫广丶厂利禾刂
硫,石㐬𠫓
量,旦日一里田土
塁,田冫土
裂,列歹刂一夕衣亠𧘇
廊,广丶厂郎良⻏艮
惑,或戈口一弋丿心
湾,氵弯亦弓
腕,月宛宀夗
愛,心爪冖夂
暗,音立日
彙,彑冖果田木
意,音立日心
違,⻌韋
