亜 a
宛 a-teru
挨 ai
愛 ai
曖 ai
案 an
嵐 arashi
圧 atsu
扱 atsuka-u
婆 ba
輝 ki/kagaya-ku
亀 ki/kame
気 ki/ke
企 ki/kuwada-teru
鬼 ki/oni
記 ki/shiru-su
既 ki/sude-ni
机 ki/tsukue
飢 ki/u-eru
器 ki/utsuwa
喜 ki/yoroko-bu
吉 kichi/kitsu
近 kin/chika-i
襟 kin/eri
琴 kin/koto
錦 kin/nishiki
筋 kin/suji
謹 kin/tsutsushi-mu
僅 kin/wazu-ka
込 ko-mu/ko-meru
誇 ko/hoko-ru
顧 ko/kaeri-miru
股 ko/mata
湖 ko/mizuumi
戸 ko/to
虎 ko/tora
鼓 ko/tsuzumi
雇 ko/yato-u
呼 ko/yo-bu
故 ko/yue
刻 koku/kiza-mu
国 koku/kuni
谷 koku/tani
告 koku/tsu-geru
痕 kon/ato
困 kon/koma-ru
根 kon/ne
懇 kon/nengo-ro
魂 kon/tamashii
骨 kotsu/hone
厚 kou/atsu-i
江 kou/e
鋼 kou/hagane
控 kou/hika-eru
甲 kou/kan
考 kou/kanga-eru
硬 kou/kata-i
効 kou/ki-ku
工 kou/ku
港 kou/minato
貢 kou/mitsu-gu
溝 kou/mizo
喉 kou/nodo
公 kou/ooyake
皇 kou/ou
攻 kou/se-meru
候 kou/sourou
耕 kou/tagaya-su
巧 kou/taku-mi
綱 kou/tsuna
薫 kun/kao-ru
君 kun/kimi
掘 kutsu/ho-ru
脚 kyaku/ashi
客 kyaku/kaku
居 kyo/i-ru
拠 kyo/ko
拒 kyo/koba-mu
許 kyo/yuru-su
郷 kyou/gou
橋 kyou/hashi
響 kyou/hibi-ku
鏡 kyou/kagami
京 kyou/kei
胸 kyou/mune
境 kyou/sakai
叫 kyou/sake-bu
矯 kyou/ta-meru
共 kyou/tomo
恭 kyou/uyauya-shii
久 kyuu/hisa-shii
急 kyuu/iso-gu
嗅 kyuu/ka-gu
究 kyuu/kiwa-meru
朽 kyuu/ku-chiru
求 kyuu/moto-meru
泣 kyuu/na-ku
丘 kyuu/oka
吸 kyuu/su-u
救 kyuu/suku-u
球 kyuu/tama
臼 kyuu/usu
弓 kyuu/yumi
麻 ma/asa
磨 ma/miga-ku
妹 mai/imouto
幕 maku/baku
万 man/ban
迷 mei/mayo-u
冥 mei/myou
免 men/manuka-reru
綿 men/wata
民 min/tami
模 mo/bo
茂 mo/shige-ru
黙 moku/dama-ru
目 moku/me
門 mon/kado
網 mou/ami
妄 mou/bou
毛 mou/ke
矛 mu/hoko
霧 mu/kiri
夢 mu/yume
内 nai/uchi
南 nan/minami
捻 nen/hine-ru
粘 nen/neba-ru
年 nen/toshi
熱 netsu/atsu-i
尼 ni/ama
認 nin/mito-meru
濃 nou/ko-i
屋 oku/ya
穏 on/oda-yaka
卸 oro-su/oroshi
応 ou/kota-eru
殴 ou/nagu-ru
奥 ou/oku
桜 ou/sakura
横 ou/yoko
裸 ra/hadaka
雷 rai/kaminari
藍 ran/ai
卵 ran/tamago
礼 rei/rai
例 rei/tato-eru
麗 rei/uruwa-shii
暦 reki/koyomi
練 ren/ne-ru
劣 retsu/oto-ru
履 ri/ha-ku
利 ri/ki-ku
里 ri/sato
裏 ri/ura
林 rin/hayashi
臨 rin/nozo-mu
輪 rin/wa
路 ro/ji
露 ro/tsuyu
麓 roku/fumoto
朗 rou/hoga-raka
弄 rou/moteaso-bu
涙 rui/namida
類 rui/tagu-i
旅 ryo/tabi
緑 ryoku/midori
量 ryou/haka-ru
糧 ryou/kate
陵 ryou/misasagi
良 ryou/yo-i
竜 ryuu/tatsu
粒 ryuu/tsubu
柳 ryuu/yanagi
左 sa/hidari
鎖 sa/kusari
差 sa/sa-su
唆 sa/sosonoka-su
再 sai/futata-bi
彩 sai/irodo-ru
際 sai/kiwa
最 sai/motto-mo
催 sai/moyoo-su
菜 sai/na
採 sai/to-ru
妻 sai/tsuma
災 sai/wazawa-i
削 saku/kezu-ru
搾 saku/shibo-ru
酢 saku/su
蚕 san/kaiko
傘 san/kasa
参 san/mai-ru
酸 san/su-i
山 san/yama
札 satsu/fuda
殺 satsu/koro-su
冊 satsu/saku
刹 satsu/setsu
刷 satsu/su-ru
撮 satsu/to-ru
誓 sei/chika-u
星 sei/hoshi
井 sei/i
勢 sei/ikio-i
声 sei/koe
誠 sei/makoto
政 sei/matsurigoto
婿 sei/muko
姓 sei/shou
性 sei/shou
跡 seki/ato
石 seki/ishi
昔 seki/mukashi
責 seki/se-meru
夕 seki/yuu
洗 sen/ara-u
浅 sen/asa-i
鮮 sen/aza-yaka
千 sen/chi
選 sen/era-bu
船 sen/fune
煎 sen/i-ru
泉 sen/izumi
川 sen/kawa
専 sen/moppa-ra
扇 sen/ougi
先 sen/saki
薦 sen/susu-meru
銭 sen/zeni
節 setsu/fushi
設 setsu/mou-keru
説 setsu/to-ku
接 setsu/tsu-gu
拙 setsu/tsutana-i
雪 setsu/yuki
謝 sha/ayama-ru
射 sha/i-ru
車 sha/kuruma
者 sha/mono
斜 sha/nana-me
遮 sha/saegi-ru
捨 sha/su-teru
社 sha/yashiro
借 shaku/ka-riru
酌 shaku/ku-mu
脂 shi/abura
姉 shi/ane
枝 shi/eda
歯 shi/ha
諮 shi/haka-ru
市 shi/ichi
至 shi/ita-ru
糸 shi/ito
飼 shi/ka-u
紙 shi/kami
旨 shi/mune
紫 shi/murasaki
思 shi/omo-u
支 shi/sasa-eru
死 shi/shi-nu
姿 shi/sugata
賜 shi/tamawa-ru
仕 shi/tsuka-eru
使 shi/tsuka-u
氏 shi/uji
伺 shi/ukaga-u
矢 shi/ya
針 shin/hari
臣 shin/jin
辛 shin/kara-i
心 shin/kokoro
唇 shin/kuchibiru
真 shin/ma
身 shin/mi
診 shin/mi-ru
森 shin/mori
申 shin/mou-su
侵 shin/oka-su
薪 shin/takigi
津 shin/tsu
慎 shin/tsutsushi-mu
室 shitsu/muro
質 shitsu/shichi
叱 shitsu/shika-ru
漆 shitsu/urushi
失 shitsu/ushina-u
暑 sho/atsu-i
書 sho/ka-ku
緒 sho/o
所 sho/tokoro
飾 shoku/kaza-ru
商 shou/akina-u
憧 shou/akoga-reru
鐘 shou/kane
詳 shou/kuwa-shii
招 shou/mane-ku
升 shou/masu
松 shou/matsu
召 shou/me-su
詔 shou/mikotonori
昇 shou/nobo-ru
沼 shou/numa
障 shou/sawa-ru
唱 shou/tona-eru
償 shou/tsuguna-u
承 shou/uketamawa-ru
宵 shou/yoi
象 shou/zou
殊 shu/koto
首 shu/kubi
趣 shu/omomuki
酒 shu/sake
種 shu/tane
手 shu/te
取 shu/to-ru
祝 shuku/iwa-u
春 shun/haru
瞬 shun/matata-ku
秋 shuu/aki
舟 shuu/fune
秀 shuu/hii-deru
蹴 shuu/ke-ru
周 shuu/mawa-ri
醜 shuu/miniku-i
習 shuu/nara-u
襲 shuu/oso-u
袖 shuu/sode
宗 shuu/sou
州 shuu/su
粗 so/ara-i
阻 so/haba-mu
礎 so/ishizue
狙 so/near-u
遡 so/sakanobo-ru
素 so/su
訴 so/utta-eru
側 soku/gawa
測 soku/haka-ru
息 soku/iki
束 soku/taba
捉 soku/tora-eru
促 soku/unaga-su
孫 son/mago
村 son/mura
存 son/zon
遭 sou/a-u
争 sou/araso-u
双 sou/futa
掃 sou/ha-ku
走 sou/hashi-ru
葬 sou/houmu-ru
奏 sou/kana-deru
倉 sou/kura
草 sou/kusa
桑 sou/kuwa
窓 sou/mado
喪 sou/mo
藻 sou/mo
送 sou/oku-ru
挿 sou/sa-su
捜 sou/saga-su
騒 sou/sawa-gu
爽 sou/sawa-yaka
霜 sou/shimo
巣 sou/su
創 sou/tsuku-ru
痩 sou/ya-seru
据 su-eru/su-waru
吹 sui/fu-ku
穂 sui/ho
粋 sui/iki
水 sui/mizu
推 sui/o-su
衰 sui/otoro-eru
炊 sui/ta-ku
遂 sui/to-geru
酔 sui/yo-u
他 ta/hoka
多 ta/oo-i
袋 tai/fukuro
貸 tai/ka-su
待 tai/ma-tsu
耐 tai/ta-eru
滞 tai/todokoo-ru
対 tai/tsui
沢 taku/sawa
淡 tan/awa-i
旦 tan/dan
綻 tan/hokoro-biru
鍛 tan/kita-eru
短 tan/mijika-i
炭 tan/sumi
諦 tei/akira-meru
程 tei/hodo
庭 tei/niwa
弟 tei/otouto
提 tei/sa-geru
底 tei/soko
堤 tei/tsutsumi
笛 teki/fue
敵 teki/kataki
的 teki/mato
摘 teki/tsu-mu
天 ten/ame
店 ten/mise
吐 to/ha-ku
賭 to/ka-keru
妬 to/neta-mu
塗 to/nu-ru
届 todo-keru/todo-ku
豚 ton/buta
突 totsu/tsu-ku
藤 tou/fuji
冬 tou/fuyu
灯 tou/hi
東 tou/higashi
等 tou/hito-shii
稲 tou/ine
悼 tou/ita-mu
唐 tou/kara
刀 tou/katana
豆 tou/mame
桃 tou/momo
棟 tou/mune
投 tou/na-geru
盗 tou/nusu-mu
島 tou/shima
統 tou/su-beru
闘 tou/tataka-u
筒 tou/tsutsu
