刖: 月 刂
善: 口 𦍌 䒑
漸: 氵 斬
然: 火 肰
全: 入 王
禅: 礻 単
繕: 糸 善
塑: 土 朔
措: 扌 昔
疎: 疋 束
礎: 石 楚
祖: 礻 且
租: 禾 且
粗: 米 且
素: 糸 龶
組: 糸 且
訴: 訁 斥
阻: ⻖ 且
僧: 亻 曽
創: 倉 刂
双: 又 #is1 (doubled)
倉: 亻 口 尸 #is3
喪: 口 衣
壮: 丬 士
奏: 禾 𡗗
層: 尸 曽
想: 心 相
捜: 扌 田 又 #is3
掃: 扌 帚
挿: 扌 #is1 shin
操: 扌 喿
早: 日 十
曹: 曰 曲
巣: ⺍ 果
槽: 木 曹
燥: 火 喿
争: ⺈ ⺕ 亅 #is3
相: 木 目
窓: 穴 厶 心 #is3
総: 糸 忩
草: 艹 早
荘: 艹 壮
葬: 艹 死 廾 #is3
藻: 艹 澡
澡: 氵 喿
装: 衣 壮
走: 土 龰
送: ⻌ 关
遭: ⻌ 曹
霜: 雨 相
騒: 馬 又 虫 #is3
像: 亻 象
増: 土 曽
憎: 火 曽
臓: 肉 蔵
蔵: 茂 臣
贈: 貝 曽
造: ⻌ 告
促: 亻 足
側: 亻 則
則: 貝 刂
即: 艮 卩
息: 心 自
束: 木 口
測: 氵 則
足: 口 龰
速: ⻌ 束
俗: 亻 谷
属: 禹 尸
賊: 貝 戎
族: 方 矢
続: 糸 売
卒: 十 人
存: 子 𠂇
孫: 子 系
尊: 寸 酋
損: 扌 員
村: 木 寸
他: 亻 也
多: 夕 #is1(doubled)
太: 大 丶
堕: 土 陏
妥: 女 爪
惰: 忄 左 月
打: 扌 丁
駄: 馬 太
体: 亻 本
対: 寸 文
耐: 而 寸
帯: 丗 冖 巾 #is3
待: 彳 寺
怠: 心 台
態: 心 能
替: 㚘 曰
泰: 水 𡗗
滞: 氵 帯
胎: 肉 台
袋: 代 衣
貸: 代 貝
退: ⻌ 艮
逮: ⻌ 隶
隊: ⻖ 㒸
代: 亻 弋
台: 厶 口
大: #is0
第: ⺮ 弓
題: 是 頁
滝: 氵 竜
卓: ⺊ 早
宅: 宀 乇
択: 扌 尺
拓: 扌 石
沢: 氵 尺
濯: 氵 翟
託: 訁 乇
濁: 氵 蜀
諾: 訁 若
但: 亻 旦
達: ⻌ 羍
奪: 大 奞
脱: 肉 兑
棚: 木 朋
谷: #is0
丹: 丶 冂 #partial
単: ⺍ 日 十 #is3
嘆: 口 𦰩
担: 扌 旦
探: 扌 罙
淡: 氵 火
炭: 火 厂 山
短: 矢 豆
端: 立 耑
胆: 肉 旦
誕: 訁 延
鍛: 釒 段
団: 囗 寸
壇: 土 亶
弾: 弓 単
断: 斤 米
暖: 日 爰
段: 殳  #partial
男: 田 力
談: 火 訁
値: 亻 直
知: 矢 口
地: 土 也
恥: 心 耳
池: 氵 也
痴: 疒 知
稚: 禾 隹
置: 网 直
致: 攵 至
遅: ⻌ 尸 羊 #is3
築: ⺮ 筑
畜: 玄 田
竹: #is0
蓄: 畜 艹
逐: ⻌ 豕
秩: 禾 失
窒: 穴 至
茶: 艹 𠆢 木
嫡: 女 啇
着: 羊 目
中: #is0
仲: 亻 中
宙: 宀 由
忠: 心 中
抽: 扌 由
昼: 尺 旦
柱: 木 主
注: 氵 主
虫: #is0
衷: 亠 中 𧘇
鋳: 釒 寿
駐: 馬 主
著: 艹 者
貯: 貝 宁
丁: #is0
兆: #is0
帳: 巾 長
庁: 广 丁
弔: 弓 丨
張: 弓 長
彫: 周 彡
徴: 彳 山 王 攵 #is4
懲: 徵 心
挑: 扌 兆
朝: 龺 月
潮: 氵 朝
町: 田 丁
眺: 目 兆
聴: 耳 十 罒 心 #is4
脹: 肉 長
腸: 肉 昜
調: 言 周
超: 走 召
跳: ⻊ 兆
長: #is0
頂: 丁 頁
鳥: #is0
勅: 束 力
直: 目 一 ｜ 十 #is4
朕: 月 关
沈: 氵 冘
珍: 𤣩 㐱
賃: 任 貝
鎮: 金 真
陳: ⻖ 東
津: 氵 聿
墜: 隊 土
追: 辶 𠂤
痛: 疒 甬
通: 辶 甬
塚: 土 冖 豕 #is3. different in C
漬: 氵 責
坪: 土 平
釣: 釒 勺
亭: 亠 口 冖 丁 #is4
低: 亻 氐
停: 亻 亭
偵: 亻 貞
貞: ⺊ 貝
呈: 口 王
堤: 土 是
定: 宀 𤴓
帝: 亠 丷 冖 巾
底: 广 氐
庭: 广 廷
廷: 廴 𡈼
弟: 丿 弚
抵: 扌 氐
提: 扌 是
程: 禾 呈
締: 糸 帝
艇: 舟 廷
訂: 言 丁
逓: 辶 乕
邸: 氐 ⻏
泥: 氵 尼
摘: 扌 啇
敵: 啇 攵
滴: ⺡ 啇
的: 白 勺
笛: 竹 由
適: 辶 啇
哲: 折 口
徹: 彳 育 攵 #is3
撤: 扌 育 攵 #is3
迭: 辶 失
鉄: 金 失
典: 八 #radonly
天: 一 大
展: 尸 龷 #partial
店: 广 占
添: 氵 忝
転: 車 云
点: 占 灬
伝: 亻 云
殿: 尸 共 殳 #is3
田: #is0
電: ⻗ 电
吐: 口 土
塗: 涂 土
徒: 彳 走
斗: #is0
渡: 氵 度
登: 癶 豆
途: 辶 余
都: 者 ⻏
努: 奴 力
度: 广 廿 又 #is3
土: #is0
奴: 女 又
怒: 奴 心
倒: 亻 到
党: 龸 兄
冬: 夂 ⺀
凍: 冫 東
刀: #is0
唐: 广 肀 口 #is3
塔: 土 荅
島: 山 #ispartial
悼: 忄 卓
投: 扌 殳
搭: 扌 荅
東: 束 一
桃: 木 兆
棟: 木 東
盗: 次 皿
湯: 氵 昜
灯: 火 丁
当: ⺌ 彐
痘: 疒 豆
等: ⺮ 寺
答: ⺮ 合
筒: ⺮ 同
糖: 米 唐
統: 糸 充
到: 至 刂
討: 訁 寸
謄: 月 誊
豆: 一 口 䒑 #is3
踏: 足 沓
逃: 辶 兆
透: 辶 秀
陶: ⻖ 匋
頭: 豆 頁
騰: 月 駦
闘: 門 豆 寸 #is3
働: 亻 動
動: 重 力
同: 冂 一 口 #is3
堂: 尚 土
導: 道 寸
洞: 氵 同
童: 立 里
胴: 月 同
道: 辶 首
銅: 釒 同
峠: 山 上 下 #is3
匿: 匸 若
得: 彳 㝵
徳: 彳 十 罒 心 #is4
特: 牛 寺
督: 叔 目
篤: 𥫗 馬
毒: 龶 毋
独: 犭 虫
読: 言 売
凸: 凵 #radonly
